"Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,Processor Graphics ‡"
"Intel® Core™ i7-13700H Processor,Q1'23,14,5.00 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-13700HX Processor,Q1'23,16,5.00 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i7-13700T Processor,Q1'23,16,4.90 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-13700TE Processor,Q1'23,16,4.80 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i7-13705H Processor,Q1'23,14,5.00 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1370P Processor,Q1'23,14,5.20 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1370PE Processor,Q1'23,14,4.80 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-1375PRE Processor,Q1'23,14,4.8 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-13800H Processor,Q1'23,14,5.20 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-13800HE Processor,Q1'23,14,5.00 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i7-13850HX Processor,Q1'23,20,5.30 GHz,30 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors"
"Intel® Core™ i9-13900 Processor,Q1'23,24,5.60 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-13900E Processor,Q1'23,24,5.20 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770"
"Intel® Core™ i9-13900F Processor,Q1'23,24,5.60 GHz,36 MB Intel® Smart Cache,"
"Intel® Core™ i9-13900H Processor,Q1'23,14,5.40 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
"Intel® Core™ i9-13900HK Processor,Q1'23,14,5.40 GHz,24 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible"
