Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® Processor E3-1268L v5 (8M Cache, 2.40 GHz)",Q4'15,4,3.40 GHz,2.40 GHz,8 MB Intel® Smart Cache,35 W,Intel® HD Graphics P530,
"Intel® Xeon® Processor E3-1225 v5 (8M Cache, 3.30 GHz)",Q4'15,4,3.70 GHz,3.30 GHz,8 MB Intel® Smart Cache,80 W,Intel® HD Graphics P530,
"Intel® Xeon® Processor E3-1275 v5 (8M Cache, 3.60 GHz)",Q4'15,4,4.00 GHz,3.60 GHz,8 MB Intel® Smart Cache,80 W,Intel® HD Graphics P530,
"Intel® Xeon® Processor E3-1505L v5 (8M Cache, 2.00 GHz)",Q4'15,4,2.80 GHz,2.00 GHz,8 MB Intel® Smart Cache,25 W,Intel® HD Graphics P530,
"Intel® Xeon® Processor E3-1505M v5 (8M Cache, 2.80 GHz)",Q3'15,4,3.70 GHz,2.80 GHz,8 MB Intel® Smart Cache,45 W,Intel® HD Graphics P530,
"Intel® Xeon® Processor E3-1258L v4 (6M Cache, 1.80 GHz)",Q2'15,4,3.20 GHz,1.80 GHz,6 MB Intel® Smart Cache,47 W,,
"Intel® Xeon® Processor E3-1278L v4 (6M Cache, 2.00 GHz)",Q2'15,4,3.30 GHz,2.00 GHz,6 MB Intel® Smart Cache,47 W,,
"Intel® Xeon® D-2796TE Processor (30M Cache, up to 3.10 GHz)",Q1'22,20,3.10 GHz,2.00 GHz,30 MB,118 W,,
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz)",Q1'22,4,3.00 GHz,1.90 GHz,15 MB,65 W,,
"Intel® Xeon® D-2733NT Processor (15M Cache, up to 3.20 GHz)",Q1'22,8,3.20 GHz,2.10 GHz,15 MB,80 W,,
"Intel® Xeon® D-2752TER Processor (20M Cache, up to 2.80 GHz)",Q1'22,12,2.80 GHz,1.80 GHz,20 MB,77 W,,
"Intel® Xeon® D-2775TE Processor (25M Cache, up to 3.10 GHz)",Q1'22,16,3.10 GHz,2.00 GHz,25 MB,100 W,,
"Intel® Xeon® D-1746TER Processor (15M Cache, up to 3.10 GHz)",Q1'22,10,3.10 GHz,2.00 GHz,15 MB,67 W,,
"Intel® Xeon® D-1735TR Processor (15M Cache, up to 3.40 GHz)",Q1'22,8,3.40 GHz,2.20 GHz,15 MB,59 W,,
"Intel® Xeon® D-1715TER Processor (10M Cache, up to 3.50 GHz)",Q1'22,4,3.50 GHz,2.40 GHz,10 MB,50 W,,
"Intel® Xeon® D-1732TE Processor (15M Cache, up to 3.00 GHz)",Q1'22,8,3.00 GHz,1.90 GHz,15 MB,52 W,,
"Intel® Xeon® D-1712TR Processor (10M Cache, up to 3.10 GHz)",Q1'22,4,3.10 GHz,2.00 GHz,10 MB,40 W,,
"Intel® Xeon® D-1633N Processor (9M Cache, 2.50GHz)",Q2'19,6,3.20 GHz,2.50 GHz,9 MB,45 W,,
"Intel® Xeon® D-1649N Processor (12M Cache, 2.30GHz)",Q2'19,8,3.00 GHz,2.30 GHz,12 MB,45 W,,
"Intel® Xeon® D-1653N Processor (12M Cache, 2.80GHz)",Q2'19,8,3.20 GHz,2.80 GHz,12 MB,65 W,,
"Intel® Xeon® D-1602 Processor (3M Cache, 2.50GHz)",Q2'19,2,3.20 GHz,2.50 GHz,3 MB,27 W,,
"Intel® Xeon® D-1622 Processor (6M Cache, 2.60GHz)",Q2'19,4,3.20 GHz,2.60 GHz,6 MB,40 W,,
"Intel® Xeon® D-1623N Processor (6M Cache, 2.40GHz)",Q2'19,4,3.20 GHz,2.40 GHz,6 MB,35 W,,
"Intel® Xeon® D-1627 Processor (6M Cache, 2.90GHz)",Q2'19,4,3.20 GHz,2.90 GHz,6 MB,45 W,,
"Intel® Xeon® D-1637 Processor (9M Cache, 2.90GHz)",Q2'19,6,3.20 GHz,2.90 GHz,9 MB,55 W,,
"Intel® Xeon® D-2123IT Processor (8.25M Cache, 2.20 GHz)",Q1'18,4,3.00 GHz,2.20 GHz,8 MB,60 W,,
"Intel® Xeon® D-2143IT Processor (11M Cache, 2.20 GHz)",Q1'18,8,3.00 GHz,2.20 GHz,11 MB,65 W,,
"Intel® Xeon® D-2142IT Processor (11M Cache, 1.90 GHz)",Q1'18,8,3.00 GHz,1.90 GHz,11 MB,65 W,,
"Intel® Xeon® D-2145NT Processor (11M Cache, 1.90 GHz)",Q1'18,8,3.00 GHz,1.90 GHz,11 MB,65 W,,
"Intel® Xeon® D-2146NT Processor (11M Cache, 2.30 GHz)",Q1'18,8,3.00 GHz,2.30 GHz,11 MB,80 W,,
"Intel® Xeon® D-2177NT Processor (19.25M Cache, 1.90 GHz)",Q1'18,14,3.00 GHz,1.90 GHz,19 MB,105 W,,
"Intel® Xeon® D-2163IT Processor (16.5M Cache, 2.10 GHz)",Q1'18,12,3.00 GHz,2.10 GHz,17 MB,75 W,,
"Intel® Xeon® D-2173IT Processor (19.25M Cache, 1.70 GHz)",Q1'18,14,3.00 GHz,1.70 GHz,19 MB,70 W,,
"Intel® Xeon® D-2166NT Processor (16.5M Cache, 2.00 GHz)",Q1'18,12,3.00 GHz,2.00 GHz,17 MB,85 W,,
"Intel® Xeon® D-2187NT Processor (22M Cache, 2.00 GHz)",Q1'18,16,3.00 GHz,2.00 GHz,22 MB,110 W,,
"Intel® Xeon® D-2183IT Processor (22M Cache, 2.20 GHz)",Q1'18,16,3.00 GHz,2.20 GHz,22 MB,100 W,,
"Intel® Xeon® Processor D-1533N (9M Cache, 2.10 GHz)",Q3'17,6,2.70 GHz,2.10 GHz,9 MB,45 W,,
"Intel® Xeon® Processor D-1513N (6M Cache, 1.60 GHz)",Q3'17,4,2.20 GHz,1.60 GHz,6 MB,35 W,,
"Intel® Xeon® Processor D-1543N (12M Cache, 1.90 GHz)",Q3'17,8,2.50 GHz,1.90 GHz,12 MB,45 W,,
"Intel® Xeon® Processor D-1523N (6M Cache, 2.00 GHz)",Q3'17,4,2.60 GHz,2.00 GHz,6 MB,45 W,,
"Intel® Xeon® Processor D-1553N (12M Cache, 2.30 GHz)",Q3'17,8,2.70 GHz,2.30 GHz,12 MB,65 W,,
"Intel® Xeon® Processor D-1539 (12M Cache, 1.60 GHz)",Q2'16,8,2.20 GHz,1.60 GHz,12 MB,35 W,,
"Intel® Xeon® Processor D-1559 (18M Cache, 1.50 GHz)",Q2'16,12,2.10 GHz,1.50 GHz,18 MB,45 W,,
"Intel® Xeon® Processor D-1529 (6M Cache, 1.30 GHz)",Q2'16,4,1.30 GHz,1.30 GHz,6 MB,20 W,,
"Intel® Xeon® Processor D-1567 (18M Cache, 2.10 GHz)",Q1'16,12,2.70 GHz,2.10 GHz,18 MB,65 W,,
"Intel® Xeon® Processor D-1557 (18M Cache, 1.50 GHz)",Q1'16,12,2.10 GHz,1.50 GHz,18 MB,45 W,,
"Intel® Xeon® Processor D-1577 (24M Cache, 1.30 GHz)",Q1'16,16,2.10 GHz,1.30 GHz,24 MB,45 W,,
"Intel® Xeon® Processor D-1527 (6M Cache, 2.20 GHz)",Q4'15,4,2.70 GHz,2.20 GHz,6 MB,35 W,,
"Intel® Xeon® Processor D-1537 (12M Cache, 1.70 GHz)",Q4'15,8,2.30 GHz,1.70 GHz,12 MB,35 W,,
"Intel® Xeon® Processor D-1528 (9M Cache, 1.90 GHz)",Q4'15,6,2.50 GHz,1.90 GHz,9 MB,35 W,,
"Intel® Xeon® Processor D-1518 (6M Cache, 2.20 GHz)",Q4'15,4,2.20 GHz,2.20 GHz,6 MB,35 W,,
"Intel® Xeon® Processor D-1548 (12M Cache, 2.00 GHz)",Q4'15,8,2.60 GHz,2.00 GHz,12 MB,45 W,,
"Intel® Xeon® Processor E5-4648 v3 (30M Cache, 1.70 GHz)",Q2'15,12,2.20 GHz,1.70 GHz,30 MB,105 W,,
"Intel® Xeon® Processor E5-2658A v3 (30M Cache, 2.20 GHz)",Q1'15,12,2.90 GHz,2.20 GHz,30 MB Intel® Smart Cache,105 W,,
"Intel® Xeon® Processor E5-2428L v3 (20M Cache, 1.80 GHz)",Q1'15,8,,1.80 GHz,20 MB,55 W,,
"Intel® Xeon® Processor E5-2438L v3 (25M Cache, 1.80 GHz)",Q1'15,10,,1.80 GHz,25 MB,70 W,,
"Intel® Xeon® Processor E5-2408L v3 (10M Cache, 1.80 GHz)",Q1'15,4,,1.80 GHz,10 MB,45 W,,
"Intel® Xeon® Processor E5-2418L v3 (15M Cache, 2.00 GHz)",Q1'15,6,,2.00 GHz,15 MB,50 W,,
"Intel® Xeon® Processor E5-2620 v3 (15M Cache, 2.40 GHz)",Q3'14,6,3.20 GHz,2.40 GHz,15 MB Intel® Smart Cache,85 W,,
"Intel® Xeon® Processor E5-2640 v3 (20M Cache, 2.60 GHz)",Q3'14,8,3.40 GHz,2.60 GHz,20 MB Intel® Smart Cache,90 W,,
"Intel® Xeon® Processor E5-2658 v3 (30M Cache, 2.20 GHz)",Q3'14,12,2.90 GHz,2.20 GHz,30 MB Intel® Smart Cache,105 W,,
"Intel® Xeon® Processor E5-2680 v3 (30M Cache, 2.50 GHz)",Q3'14,12,3.30 GHz,2.50 GHz,30 MB Intel® Smart Cache,120 W,,
"Intel® Xeon® Processor E5-2608L v3 (15M Cache, 2.00 GHz)",Q3'14,6,,2.00 GHz,15 MB Intel® Smart Cache,52 W,,
"Intel® Xeon® Processor E5-2618L v3 (20M Cache, 2.30 GHz)",Q3'14,8,3.40 GHz,2.30 GHz,20 MB Intel® Smart Cache,75 W,,
"Intel® Xeon® Processor E5-2628L v3 (25M Cache, 2.00 GHz)",Q3'14,10,2.50 GHz,2.00 GHz,25 MB Intel® Smart Cache,75 W,,
"Intel® Xeon® Processor E5-2609 v3 (15M Cache, 1.90 GHz)",Q3'14,6,,1.90 GHz,15 MB Intel® Smart Cache,85 W,,
"Intel® Xeon® Processor E5-2648L v3 (30M Cache, 1.80 GHz)",Q3'14,12,2.50 GHz,1.80 GHz,30 MB Intel® Smart Cache,75 W,,
"Intel® Xeon® Processor E5-4624L v2 (25M Cache, 1.90 GHz)",Q1'14,10,2.50 GHz,1.90 GHz,25 MB Intel® Smart Cache,70 W,,
"Intel® Xeon® Processor E5-2448L v2 (25M Cache, 1.80 GHz)",Q1'14,10,2.40 GHz,1.80 GHz,25 MB Intel® Smart Cache,70 W,,
"Intel® Xeon® Processor E5-2428L v2 (20M Cache, 1.80 GHz)",Q1'14,8,2.30 GHz,1.80 GHz,20 MB Intel® Smart Cache,60 W,,
"Intel® Xeon® Processor E5-2450 v2 (20M Cache, 2.50 GHz)",Q1'14,8,3.30 GHz,2.50 GHz,20 MB Intel® Smart Cache,95 W,,
"Intel® Xeon® Processor E5-2418L v2 (15M Cache, 2.00 GHz)",Q1'14,6,2.00 GHz,2.00 GHz,15 MB Intel® Smart Cache,50 W,,
